Date,RBC Open,RBC High,RBC Low,RBC Close,RBC Adj Close,RBC Volume,BMO Open,BMO High,BMO Low,BMO Close,BMO Adj Close,BMO Volume,,Drop down,,,,,,,,,,,,,Date,RBC Volume,RBC Volume
5/27/2022,$106.61,$107.40,$106.33,$107.38,$105.06,580800,$101.23,$103.43,$101.14,$103.04,$100.92,1136000,,,,,,,,,,,,,,,5/27/2022,580800,580800
5/31/2022,$108.28,$109.69,$107.32,$108.89,$106.53,946500,$103.65,$105.00,$103.22,$104.48,$102.34,995000,,,,,,,,,,,,,,,5/31/2022,946500,946500
6/1/2022,$109.39,$109.61,$107.52,$108.73,$106.38,634800,$105.00,$105.65,$104.17,$104.80,$102.65,868600,,,,,,,,,,,,,,,6/1/2022,634800,634800
6/2/2022,$108.51,$110.29,$108.07,$110.01,$107.63,533800,$104.84,$105.93,$104.33,$105.71,$103.54,572100,,,,,,,,,,,,,,,6/2/2022,533800,533800
6/3/2022,$109.50,$109.92,$108.54,$108.78,$106.43,416500,$105.03,$105.54,$104.59,$104.77,$102.62,615900,,,,,,,,,,,,,,,6/3/2022,416500,416500
6/6/2022,$110.01,$110.67,$109.21,$109.75,$107.37,430900,$105.41,$106.43,$105.15,$105.33,$103.17,570900,,,,,,,,,,,,,,,6/6/2022,430900,430900
6/7/2022,$109.10,$110.65,$109.02,$110.30,$107.91,407200,$104.90,$106.40,$104.75,$106.26,$104.08,559500,,,,,,,,,,,,,,,6/7/2022,407200,407200
6/8/2022,$109.82,$109.85,$108.16,$108.97,$106.61,513400,$105.95,$106.07,$104.41,$105.10,$102.94,875300,,,,,,,,,,,,,,,6/8/2022,513400,513400
6/9/2022,$108.27,$108.56,$105.99,$106.00,$103.71,755800,$104.68,$105.15,$103.05,$103.05,$100.93,875000,,,,,,,,,,,,,,,6/9/2022,755800,755800
6/10/2022,$104.01,$104.29,$102.46,$102.84,$100.61,843800,$101.33,$101.48,$99.98,$100.61,$98.54,1211300,,,,,,,,,,,,,,,6/10/2022,843800,843800
6/13/2022,$100.43,$101.17,$99.76,$100.30,$98.13,717500,$98.47,$99.03,$97.81,$98.26,$96.24,1428600,,,,,,,,,,,,,,,6/13/2022,717500,717500
6/14/2022,$100.39,$100.89,$98.46,$99.09,$96.95,541600,$98.30,$98.58,$96.44,$97.26,$95.26,1101000,,,,,,,,,,,,,,,6/14/2022,541600,541600
6/15/2022,$99.64,$101.42,$98.39,$100.34,$98.17,649700,$97.51,$99.25,$96.46,$98.20,$96.18,1047000,,,,,,,,,,,,,,,6/15/2022,649700,649700
6/16/2022,$98.32,$98.87,$97.27,$97.67,$95.56,796500,$96.68,$97.10,$95.11,$96.48,$94.50,1111900,,,,,,,,,,,,,,,6/16/2022,796500,796500
6/17/2022,$97.48,$98.07,$95.70,$96.20,$94.12,780600,$95.92,$96.56,$94.94,$95.59,$93.63,912300,,,,,,,,,,,,,,,6/17/2022,780600,780600
6/21/2022,$99.10,$99.32,$98.22,$98.58,$96.45,491500,$97.67,$98.30,$97.48,$97.83,$95.82,868600,,,,,,,,,,,,,,,6/21/2022,491500,491500
